#,categories,brands,products,publishedPosts,scheduledPosts,plan
2458,146,31,2151,0,0,Free
2126,4,2,22,0,0,Free
2424,15,1,116,0,0,Free
1731,3,2,12,0,0,Free
4164,50,142,1646,0,0,Free
763,23,1,153,0,0,Free
1166,,16,,0,0,Free
3457,25,3,126,0,0,Free
1734,34,23,962,0,0,Free
966,17,3,415,0,0,Free
2053,43,1,40,0,0,Free
884,9,1,216,3,0,Free
2357,6,1,93,108,0,Free
3121,1,1,1,0,0,Free
1824,6,2,271,0,0,Free
3110,8,1,9,0,0,Free
3987,,37,,2,0,Free
3866,13,1,39,0,0,Free
941,18,37,444,0,0,Free
203,8,4,21,0,0,Free
671,8,1,37,0,0,Free
2527,3,2,11,0,0,Free
4017,1,1,1,0,0,Free
2378,32,26,606,0,0,Free
855,26,1,31,0,0,Free
4297,8,1,28,0,0,Free
3703,,1,,0,0,Free
404,31,13,354,280,0,Free
2819,55,2,118,0,0,Free
4706,,21,,2,0,Free
4850,,1,,0,0,Free
2912,,1,,0,0,Free
893,27,1,45,0,0,Free
1974,21,1,451,0,0,Free
1846,93,67,1643,90,0,Free
2913,22,1,112,0,0,Free
1144,18,7,152,0,0,Free
2888,353,66,1721,0,0,Free
2283,10,2,33,0,0,Free
2402,9,1,18,1,0,Free
4575,20,1,32,0,0,Free
1903,6,1,10,0,0,Free
638,9,1,4,0,0,Free
505,40,54,298,616,0,Free
1448,23,16,210,0,0,Free
479,271,276,974,0,0,Free
4127,3,1,17,0,0,Free
2878,20,1,84,0,0,Free
4711,4,1,24,762,15,Free
4281,9,1,48,40,0,Free
2937,0,1,5,0,0,Free
4609,,2993,,1,0,Free
403,,96,,0,0,Free
3102,1,1,7,0,0,Free
343,91,22,402,25,0,Free
2636,4,2,18,0,0,Free
2637,4,2,11,0,0,Free
334,407,31,412,0,0,Free
330,13,10,65,0,0,Free
3786,7,4,11,0,0,Free
630,57,2,79,0,0,Free
684,54,1,1762,0,0,Free
4855,137,1,7244,0,0,Free
3834,4,2,19,0,0,Free
4033,1,1,31,0,0,Free
4699,8,1,41,0,0,Free
716,16,1,176,0,0,Free
4568,11,1,601,0,0,Free
4852,35,1,810,360,0,Free
972,68,27,1093,0,0,Free
1599,27,1,73,0,0,Free
4619,6,1,2,0,0,Free
314,51,41,1281,44,0,Free
315,51,41,1281,0,0,Free
4671,8,1,29,570,16,Free
165,989,487,10877,0,0,Free
4554,4,1,114,0,0,Free
2990,3,1,7,0,0,Free
4266,48,2,73,0,0,Free
4229,3,28,0,0,0,Free
1613,18,95,130,600,0,Free
2220,15,130,487,5,0,Free
4231,15,2,161,0,0,Free
4703,3,1,3,0,0,Free
4020,27,1,163,0,0,Free
3078,25,2,170,0,0,Free
3337,21,1,478,6,0,Free
155,39,51,335,3,0,Free
4555,27,1,686,0,0,Free
4556,27,1,686,0,0,Free
1747,5,5,62,688,24,Free
4500,50,1,331,4,0,Free
1172,9,1,222,4,0,Free
3232,70,37,1051,160,0,Free
3095,7,2,82,0,0,Free
2741,17,5,47,0,0,Free
2606,29,3,366,0,0,Free
2739,18,8,247,3,0,Free
3635,7,1,101,0,0,Free
4226,48,162,1158,0,0,Free
3353,1,1,9,0,0,Free
3636,7,1,101,0,0,Free
2563,60,42,877,0,0,Free
2346,5,1,240,0,0,Free
4691,6,1,88,0,0,Free
2072,20,321,446,4,0,Free
4683,0,1,1,0,0,Free
4696,10,10,288,520,0,Free
3003,99,18,977,0,0,Free
3567,16,4,30,3429,342,Free
2442,43,2,114,2,0,Free
4624,,1,,0,0,Free
3568,5,1,19,0,0,Free
4227,48,162,1159,9,0,Free
4875,,1,,0,0,Free
4170,5,3,40,0,0,Free
2285,86,5,114,0,0,Free
3100,16,4,115,0,0,Free
2908,14,2,51,0,0,Free
1042,89,1,3010,0,0,Free
311,253,68,1853,36,0,Free
1221,13,4,155,3630,120,Free
963,11,1,103,0,0,Free
3325,9,4,86,0,0,Free
1657,76,2,75,2912,14,Free
906,102,65,202,0,0,Free
947,10,2,49,1,0,Free
1774,15,3,89,0,0,Free
833,221,223,7152,0,0,Free
4597,,1,,0,0,Free
725,31,12,201,371,0,Free
3019,11,1,72,0,0,Free
1397,6,1,134,0,0,Free
600,190,6,80,0,0,Free
3692,58,5,114,1440,192,Free
726,30,12,190,46,0,Free
3242,10,2,60,0,0,Free
727,27,12,160,357,0,Free
1239,3,1,55,0,0,Free
141,179,259,7167,0,0,Free
4426,1,1,0,0,0,Free
4598,46,1,302,0,0,Free
868,6,4,23,2,0,Free
1190,,24,,0,0,Free
1140,51,25,2195,0,0,Free
4380,15,1,605,0,0,Free
4423,6,1,388,0,0,Free
1575,30,1,345,72,0,Free
2590,14,2,104,0,0,Free
2443,41,2,90,21,0,Free
2948,18,1,208,0,0,Free
1294,35,11,4753,235,0,Free
1660,90,160,2852,1,0,Free
3444,,2,,0,0,Free
4185,21,5,154,1,0,Free
2988,7,1,6,0,0,Free
643,10,1,25,0,0,Free
1692,31,15,1199,0,0,Free
1972,5,84,108,0,0,Free
4302,23,1,398,0,0,Free
3577,4,1,12,40,0,Free
149,20,1,47,0,0,Free
